,Topic,Words,Frequency,Class
349,23,"race, diversity, prosecutors fallacy, concept race, subspecies",4,Journal of Philosophy
350,24,"colors, colour, quality space, reflectance, physicalism",4,Journal of Philosophy
351,25,"human animals, persons, self concept, Baker, numerically distinct",5,Journal of Philosophy
352,26,"imagination, imaginative, fiction, generation action, imaginative desires",4,Journal of Philosophy
353,27,"possibly false, false knowledge, knowledge, fallibilism, know",4,Journal of Philosophy
354,28,"disagreement, evidence, veil, usual, crime Psychologists",2,Journal of Philosophy
355,29,"aesthetic, art, source aesthetic, Aesthetic judgment, aesthetic belief",3,Journal of Philosophy
356,31,"indeterministic, Berofsky, free Bernard, particular deterministically, typical libertarian",1,Journal of Philosophy
357,32,"inductive, inductive logic, ravens, Hume, generalizations like",1,Journal of Philosophy
358,33,"Wittgenstein, Substantively, Substantively find, odel theorem, vindicate Wittgenstein",1,Journal of Philosophy
359,36,"ponens, modus ponens, indicative, Conditional Locality, conditional assertion",7,Journal of Philosophy
360,37,"disputes, Thomasson, easy, metaphysics composition, easily settled",3,Journal of Philosophy
361,38,"Goldman argument, externalism, earth seems, dilemma externalist, internalistexternalist debate",3,Journal of Philosophy
362,40,"realization, causation, view realization, causal, supervenient causation",5,Journal of Philosophy
363,41,"expert ancient, ancient philosophy, philosophy, Plato, Socrates",1,Journal of Philosophy
364,44,"hands, skepticism, global skepticism, knew hands, veridicalist",3,Journal of Philosophy
365,45,"collective, collective intentions, collective action, social, social epistemology",3,Journal of Philosophy
366,46,"counterfactuals, vacuously true, counterpossibles, semantics, treats counterpossibles",3,Journal of Philosophy
367,47,"model world, Humean, laws, otherwise opaque, grounds misrepresents",1,Journal of Philosophy
368,48,"knowing something, Williamson gave, turn complex, dispositions Knowledge, species knowing",2,Journal of Philosophy
369,49,"explanatory, extra, explanations, mathematical explanation, extra logical",5,Journal of Philosophy
370,51,"propositions, propositional logic, type, Russell Myhill, predicating",3,Journal of Philosophy
371,52,"endurantists, theory persistence, persistence, transcendentism, metaphysically fruitful",2,Journal of Philosophy
372,53,"testimony, history others, want dispute, testimony essentially, depended communication",1,Journal of Philosophy
373,55,"catch, window, hand poised, left catch, observation assumption",2,Journal of Philosophy
374,56,"assertion, conversational implicature, implicature, conversational, blamelessness",2,Journal of Philosophy
375,57,"semantically excessive, worst possible, excessive interpretation, truth renders, two worlds",1,Journal of Philosophy
376,59,"resilience, bereaved, baseline Psychologists, resilience kind, resilience consider",1,Journal of Philosophy
377,62,"belief reports, attitudes, Kent flies, simple attitudes, quantificational attitudes",2,Journal of Philosophy
378,63,"perception, illusion hallucination, illusion, characterization perception, degenerate exercises",1,Journal of Philosophy
379,64,"Descartes, marvels nature, authored Several, idea understandable, consider wonderful",2,Journal of Philosophy
380,65,"lying, believe false, lie, deception, lying misleading",5,Journal of Philosophy
381,67,"finding words, words, finding, seems require, self knowledge",1,Journal of Philosophy
382,68,"philosophical theses, Sider objection, phenomenalism understood, naturalism phenomenalism, ground philosophy",1,Journal of Philosophy
383,69,"idealization, increasingly recognize, idealization intentional, idealization literature, disparate characterizations",1,Journal of Philosophy
384,71,"imperative, imperative account, proscribe, sensations, imperative content",3,Journal of Philosophy
385,72,"position Lewis, indexical claim, One prior, argument halfer, conditionalization potential",1,Journal of Philosophy
386,73,"probability, quantum, probabilistic, propensity, identity thesis",3,Journal of Philosophy
387,74,"coherence, produce justification, truth conducive, doubt coherence, depend Coherence",1,Journal of Philosophy
388,75,"Fitch result, factivitynegative infallibility, every truth, infallibility, root source",1,Journal of Philosophy
389,78,"nervous tissue, unaccountable appearance, consciousness comes, rubbed lamp, Aladdin rubbed",2,Journal of Philosophy
390,80,"information sensitive, case Modal, modal Gettier, operator safety, plausible predictions",1,Journal of Philosophy
391,81,"luck, risk epistemology, luck epistemology, anti luck, epistemology",2,Journal of Philosophy
392,82,"Moore, paradox, legitimately judged, nature remains, save paradox",1,Journal of Philosophy
393,84,"style cases, actual sequence, alternative possibilities, states acting, ownership rejection",3,Journal of Philosophy
394,85,"bodily processes, COH, bodily, exercise sensorimotor, acting",2,Journal of Philosophy
395,86,"manipulation, responsibility, manipulation arguments, determinism, moral responsibility",2,Journal of Philosophy
396,87,"error, immune error, error misidentification, first person, Shoemaker view",6,Journal of Philosophy
397,88,"Quine arguments, Two Dogmas, Dogmas Empiricism, concepts epistemic, Constructing World",2,Journal of Philosophy
398,-1,"argue, one, paper, properties, terms",154,Noûs
399,0,"moral, normative, rights, argue, ethics",55,Noûs
400,1,"belief, evidence, epistemic, credence, accuracy",40,Noûs
401,2,"mathematics, Frege Constraint, undecidability, absolute undecidability, CH",10,Noûs
402,3,"names, count nouns, nouns, Millianism, January",8,Noûs
403,4,"normative, rationality, ought, normative reasons, reasoning",24,Noûs
404,5,"brain, skull bound, brains, cognitive, PEM",4,Noûs
405,6,"metaphysical, possible worlds, metaphysical necessity, conceptual relativity, modal metaphysics",16,Noûs
406,7,"decision, decision theory, sunk costs, choice worthiness, normative uncertainty",6,Noûs
407,8,"quantum, quantum mechanics, dimensional space, Separability, Humean",5,Noûs
408,9,"time, presentism, past, times, temporal",13,Noûs
409,10,"speciation, human, human actions, constructionists, organism",3,Noûs
410,11,"linguistic, semantic, language, Grices, demonstratives",16,Noûs
411,12,"causal, correlational data, purely correlational, randomized controlled, correlational",2,Noûs
412,13,"causation, causal, circumstances, physical event, causal structure",7,Noûs
413,14,"knowledge ascription, contextualism, knowledge, account knows, invariantism",4,Noûs
414,15,"Priors, scientific, Ramsification, puzzle, FA",4,Noûs
415,16,"visual, character, perceptual experience, transparency, perception",11,Noûs
416,17,"non factualist, classical logic, Philosophers fond, Being non, tautology embracing",1,Noûs
417,18,"mereological, universalism, fusion, Weak Supplementation, clay",5,Noûs
418,19,"responsibility, blame, moral responsibility, moral luck, reasons responsiveness",9,Noûs
419,20,"emotions, affective, perceptual states, perceptual, content emotions",4,Noûs
420,21,"physicalism, supervenience based, electrons protons, materialism, properties",7,Noûs
421,22,"vagueness, sorites arguments, vague predicates, semantic, epistemicists",10,Noûs
422,23,"gender, implicit biases, prejudices, social, associations",7,Noûs
423,24,"colour, color perception, contents color, properties, secondary qualities",9,Noûs
424,25,"sense survival, fission, personal, identity, survival intrinsic",4,Noûs
425,26,"fictional, Bilbo, fiction, fictionalist, fictional individual",5,Noûs
426,27,"knowledge, inductive knowledge, observations made, KK principle, epistemic properties",3,Noûs
427,28,"conciliationism, advisor, weight view, peer disagreement, epistemic",6,Noûs
428,29,"art, Affective View, appreciation art, evaluation appreciation, aesthetic evaluation",1,Noûs
429,30,"Kripshe, gods, empty natural, mock propositions, professional interest",1,Noûs
430,31,"free, libertarianism, agent causation, randomness, causation",9,Noûs
431,32,"Hume, Hume positive, positive argument, induction, inferences unobserved",2,Noûs
432,33,"genuine propositions, Wittgenstein, Ramsey Wittgenstein, historical questions, earlier view",1,Noûs
433,34,"Kant, Object, Object view, Metaphysical One, indiscernibility",6,Noûs
434,35,"perceptual, perceptual knowledge, visual, beliefs, perception",3,Noûs
435,36,"conditionals, conditional, imperatives, indicative conditionals, call statement",5,Noûs
436,37,"ontological, holes, Hirsch, metaphysics, ontology",6,Noûs
437,38,"mental internalism, internalism, forms Externalism, social milieu, reject mental",2,Noûs
438,40,"mental causation, causation, exclusion, functionalism, causal",6,Noûs
439,43,"virtue, distinction virtue, virtues, affecting former, virtues need",2,Noûs
440,44,"skepticism, half essay, external world, defends epistemic, explores practical",5,Noûs
441,45,"groups, group agents, representation, informal political, oppressed marginalized",3,Noûs
442,46,"counterfactuals, similarity, counterpossibles, counterfactual, sequences",10,Noûs
443,47,"laws, Humean Supervenience, causation, anti Humean, fundamental beings",4,Noûs
444,48,"knowledge, ability hypothesis, knowledge knowledge, practical knowledge, ability",4,Noûs
445,49,"causal, unification, optimality, explanations, unification accounts",3,Noûs
446,50,"underlying innate, evidence four, reflection underlying, innate universal, languages cases",1,Noûs
447,51,"propositions, semantic value, appear contributing, use clauses, terms naturally",3,Noûs
448,52,"temporal, endurantism, perdurantism, temporal parts, endurantismperdurantism",3,Noûs
449,53,"testimony, trust testimony, testimony propositional, utterances testimony, testimonial evidence",1,Noûs
450,54,"intentional understanding, standard philosophical, intentional capacities, paradox assessed, humans monkeys",1,Noûs
451,55,"intentions, corkscrew, basic action, causal, Al",6,Noûs
452,56,"assertions, speech, Quality, knowledge account, research contexts",6,Noûs
453,57,"deflationism, reconciliation, approach reconciliation, truth, reconciliation side",2,Noûs
454,58,"conceptual, concepts, meaning reference, linguistic analysis, linguistic",3,Noûs
455,59,"death bad, Presentism argue, living died, argue death, Epicurus seems",1,Noûs
456,60,"APD emotions, emotions, Memory Claim, past, New Emotion",1,Noûs
457,61,"dispositional, disposition, dispositionalism, analysis, dispositionalcategorical",8,Noûs
458,62,"ascriptions, propositional, ascribee, attitudes, propositional attitude",8,Noûs
459,63,"first person, genuine mental, argument avoid, moral paper, break dynamics",2,Noûs
460,64,"Descartes, natural light, Meditation, 3M Proof, Gods existence",4,Noûs
461,65,"lying, lie, status lying, morality lying, lie presuppositions",2,Noûs
462,66,"Spinoza, Leibniz, metaphysical dependence, metaphysical, two realms",5,Noûs
463,67,"premise, self knowledge, SAIs implications, Boghossian 1992, beliefs",4,Noûs
464,68,"metaphysical explanation, grounding idealism, metaphysical, idealism, First Idealism",1,Noûs
465,70,"metaphysics, cosmic, cosmic significance, Deweys views, formulations realism",7,Noûs
466,71,"unpleasantness, pains unpleasantness, appealing anti, sights two, accommodated view",1,Noûs
467,72,"claim rejected, Monday uncertain, awakes Monday, rejected thereby, day argue",1,Noûs
468,73,"credences propositions, chance credence, Lewis noticed, norm states, PP strong",1,Noûs
469,76,"kind terms, like behavior, tropes, rigid designation, Kripke",2,Noûs
470,79,"Frege, composed senses, compositionally complex, intrinsic representational, thoughts compositionally",3,Noûs
471,80,"occurrence sentence, assessing, sentence possibility, necessity one, assessing occurrence",2,Noûs
472,81,"luck, theories luck, skillful luck, undiscussed classes, luck three",1,Noûs
473,82,"practical Moore, Moore sentences, infelicity, know whether, avowal agnosticism",1,Noûs
474,83,"negative truths, section, Truthmaker Maximalism, truthmaker principle, connections section",2,Noûs
475,84,"Frankfurts argument, Frankfurt, freedom, example meant, sort freedom",3,Noûs
476,85,"bodily action, Many Problem, experiences trying, perceptual, intentional bodily",2,Noûs
477,88,"Quine, radical Quine, Logical truths, falso quodlibet, radical",1,Noûs
478,-1,"paper, theory, account, claim, show",315,Australasian Journal of Philosophy
479,0,"moral, argue, value, normative, ethical",158,Australasian Journal of Philosophy
480,1,"justification, epistemic, doxastic justification, beliefs, evidence",30,Australasian Journal of Philosophy
481,2,"explanations, holes, nominalism, mathematical explanations, French",21,Australasian Journal of Philosophy
482,3,"Philosophy, names, Philosophy 89, 2011 Philosophy, reference",84,Australasian Journal of Philosophy
483,4,"reasons, ought, desires, normative, rationality",28,Australasian Journal of Philosophy
484,5,"free energy, energy, energy principle, Clarendon, Mental Representation",6,Australasian Journal of Philosophy
485,6,"possible worlds, modality, modal realism, essentialism, primitive",15,Australasian Journal of Philosophy
486,7,"decision theory, incomplete preferences, agents incomplete, rational, Transitivity",9,Australasian Journal of Philosophy
487,8,"spatio temporal, quantum mechanics, Newtonian world, interpretation quantum, separability",5,Australasian Journal of Philosophy
488,9,"temporal, time, presentism, presentists, temporal passage",17,Australasian Journal of Philosophy
489,10,"selection, fitness, natural selection, priori causal, natures kinds",10,Australasian Journal of Philosophy
490,11,"Loar, communicative, referent, linguistic, utterance",13,Australasian Journal of Philosophy
491,12,"Conventionalism, Conventionalists hold, Conventionalists, Public, Public Conventionalism",1,Australasian Journal of Philosophy
492,13,"causation, causal, causes, account causation, genuine causation",17,Australasian Journal of Philosophy
493,14,"contextualism, relativism, knowledge, context, knowledge ascriptions",15,Australasian Journal of Philosophy
494,15,"adequacy, observation, evolutionary analogy, theories successive, generations theories",5,Australasian Journal of Philosophy
495,16,"perceptual, MQ, perception, visual, size",10,Australasian Journal of Philosophy
496,17,"consequence, harmony, classical logic, strict tolerant, warrant failure",11,Australasian Journal of Philosophy
497,18,"universals, composition, mereological, compose, bare particulars",25,Australasian Journal of Philosophy
498,19,"moral responsibility, agents, luck, blame, blameworthy",15,Australasian Journal of Philosophy
499,20,"disgust, emotion, fundamentally concerned, norms fundamentally, moral disgust",9,Australasian Journal of Philosophy
500,21,"physicalism, concepts, materialism, phenomenal concepts, dualism",11,Australasian Journal of Philosophy
501,22,"vagueness, bald, whether Harry, idea world, vague whether",11,Australasian Journal of Philosophy
502,23,"pornography, sexual, women, sexual discourse, implicit attitudes",10,Australasian Journal of Philosophy
503,24,"colour, colours, concepts, colour experience, properties",19,Australasian Journal of Philosophy
504,25,"identity, personal identity, psychological continuity, psychological, continuity",11,Australasian Journal of Philosophy
505,26,"imaginativeness, imagination, imaginative, narrative, fiction",9,Australasian Journal of Philosophy
506,27,"knowledge, puzzle, infallibilism, knows, evidence misleading",8,Australasian Journal of Philosophy
507,28,"disagreement, peers, peer disagreement, Conciliationism, scepticism",7,Australasian Journal of Philosophy
508,29,"art, artworks, Art, artistic, non art",23,Australasian Journal of Philosophy
509,30,"Information, Pp, God, Paperback, Press Oxford",32,Australasian Journal of Philosophy
510,31,"libertarianism, freedom, indeterminism, libertarian, Consequence Argument",11,Australasian Journal of Philosophy
511,32,"Hume, scepticism, quasi realist, perceptions, notion dispositions",8,Australasian Journal of Philosophy
512,33,"Wittgenstein, private language, Information, Pp, Voices Wittgenstein",8,Australasian Journal of Philosophy
513,34,"Kant, negation, knowledge things, aesthetic, pure intuitions",5,Australasian Journal of Philosophy
514,35,"propositional seemings, seemings, perceptual, perceptual justification, Conservatism",3,Australasian Journal of Philosophy
515,36,"conditionals, shoot Kennedy, Conditionals, indicative conditionals, three parameter",4,Australasian Journal of Philosophy
516,37,"ontological, verbal, ontology, categories, ontological categories",8,Australasian Journal of Philosophy
517,38,"style thought, Twin Earth, thought experiments, produce metaphysically, possession certain",2,Australasian Journal of Philosophy
518,39,"paradoxes, semantic paradoxes, truth, semantic, Yablos paradox",11,Australasian Journal of Philosophy
519,40,"causation, exclusion, causal, mental causation, realization",11,Australasian Journal of Philosophy
520,41,"Pp, institutions Magnesia, Magnesia, Solomon David, heavens consist",7,Australasian Journal of Philosophy
521,43,"virtue, virtues, virtue epistemology, skills, intellectual vice",6,Australasian Journal of Philosophy
522,44,"necessary connections, scepticism, connections, problem induction, deniers necessary",3,Australasian Journal of Philosophy
523,45,"collective actions, collective, individual actions, paraphrase procedure, sentences collective",3,Australasian Journal of Philosophy
524,46,"counterfactuals, CC, counterfactual, normality, principle Counterfactual",3,Australasian Journal of Philosophy
525,47,"laws nature, HS, Humeanism, Humean Supervenience, lawhood",8,Australasian Journal of Philosophy
526,48,"knowledge, wisdom, knowledge kind, intellectualism, intellectualists",6,Australasian Journal of Philosophy
527,50,"intuitions, philosophical intuitions, philosophy, experimental philosophy, folk intuitions",4,Australasian Journal of Philosophy
528,51,"propositions, act theorist, intensionally equivalent, theory propositions, unity proposition",4,Australasian Journal of Philosophy
529,52,"time, dimensionalism, persistence, temporal, four dimensionalism",12,Australasian Journal of Philosophy
530,53,"testimony, recipients testimony, ethical epistemic, credibility, epistemic",2,Australasian Journal of Philosophy
531,55,"intentional action, causes action, philosophy action, rationalization, causalist",7,Australasian Journal of Philosophy
532,56,"assertion, assert, account assertion, express knowledge, assert one",7,Australasian Journal of Philosophy
533,57,"deflationary, deflationism, deflationists, inflationists, truth property",3,Australasian Journal of Philosophy
534,58,"doi 108000048400012349401, pp 119, Jackson metaphysics, 124 doi, analysis Philosophy",1,Australasian Journal of Philosophy
535,59,"death, animals, specie aeternitatis, death bad, Environmental",10,Australasian Journal of Philosophy
536,60,"memory, personal memory, memories, Hoerl McCormack, Time Memory",4,Australasian Journal of Philosophy
537,61,"dispositions, masks, Birds, reformed analysis, dispositions intrinsic",5,Australasian Journal of Philosophy
538,62,"property theory, theory content, subjects, attitudes, appropriate psychological",2,Australasian Journal of Philosophy
539,63,"hallucination, hallucinations, hallucinatory experience, perceptual, hallucinatory",3,Australasian Journal of Philosophy
540,64,"Descartes, Cottingham, Meditations, Descartess, Cartesian",2,Australasian Journal of Philosophy
541,65,"deception, manipulation, lie, definition, intend represent",4,Australasian Journal of Philosophy
542,66,"Leibniz, Spinoza, Leibniz challenge, create best, criterion perfection",1,Australasian Journal of Philosophy
543,67,"anti individualism, Peter reasoning, Validity Requirement, individualism, Requirement",4,Australasian Journal of Philosophy
544,68,"grounding, OIT false, argue OIT, grounds argue, discarded",3,Australasian Journal of Philosophy
545,70,"naturalistic metaphysics, metaphysics, non naturalistic, observable consequences, Metaphysics",4,Australasian Journal of Philosophy
546,71,"asymbolics, unpleasant, social pain, bodily care, abnormal",7,Australasian Journal of Philosophy
547,73,"probabilities, opportunities, serious cost, occur chance, instances",3,Australasian Journal of Philosophy
548,74,"coherence, justification coherence, coherentism, channeling justification, justified coherence",1,Australasian Journal of Philosophy
549,75,"knowability, truths, Fitchs, antirealistic, knowability paradox",6,Australasian Journal of Philosophy
550,76,"natural kind, subtypes, terms, Class Theory, occurrences word",5,Australasian Journal of Philosophy
551,77,"dispositional, quidditism, Argument Science, natural properties, dispositional essentialist",3,Australasian Journal of Philosophy
552,78,"consciousness, Papineau, actualist, conscious, presentational character",3,Australasian Journal of Philosophy
553,79,"Frege, distinction, mental files, denote things, contentforce distinction",5,Australasian Journal of Philosophy
554,80,"epistemic modals, epistemic, rejected sentences, premisses conclusions, epistemic possibility",3,Australasian Journal of Philosophy
555,81,"luck, anti luck, Knowing Luckily, luck platitude, absence control",3,Australasian Journal of Philosophy
556,82,"saying went, moorean utterance, Moores Proof, epistemic projects, Proof",3,Australasian Journal of Philosophy
557,83,"truthmaker, negative truths, contingent, Possibility principle, truthmaker theory",5,Australasian Journal of Philosophy
558,84,"Possibilities, PAP, Alternate Possibilities, cases, counterexamples",2,Australasian Journal of Philosophy
559,85,"bodily sensations, bodily, sensations strictly, closely specific, aspect bodily",1,Australasian Journal of Philosophy
560,86,"manipulation, Case Argument, Four Case, manipulation arguments, Perebooms argument",2,Australasian Journal of Philosophy
561,87,"Bermúdez BradfordMIT, Information Paradox, Paradox Self, By José, Consciousness By",1,Australasian Journal of Philosophy
562,-1,"one, knowledge, argue, paper, theory",376,Philosophy and Phenomenological Research
563,0,"normative, ethical, ethics, argue, book",155,Philosophy and Phenomenological Research
564,1,"belief, epistemic, evidence, justification, rationality",69,Philosophy and Phenomenological Research
565,2,"numbers, abstraction, ordinal numbers, Hume principle, philosophy mathematics",10,Philosophy and Phenomenological Research
566,3,"Philosophy Philosophy, reference, Kripke, proper names, 2019 Philosophy",66,Philosophy and Phenomenological Research
567,4,"normative, rationality, desire, ought, normative reasons",61,Philosophy and Phenomenological Research
568,5,"Clark, mind, body centrism, multiple realizability, cognition",5,Philosophy and Phenomenological Research
569,6,"modality, modal epistemology, metaphysical, epistemology, Modal Security",14,Philosophy and Phenomenological Research
570,7,"Independence, preferences, career, decision theory, dominance",7,Philosophy and Phenomenological Research
571,8,"local theories, type simplicity, function realism, physical space, quantum",2,Philosophy and Phenomenological Research
572,9,"temporal, tensed, succession, presentism, self ascription",19,Philosophy and Phenomenological Research
573,10,"selection, kinds, group selection, social kinds, biological",13,Philosophy and Phenomenological Research
574,11,"use theory, utterance, linguistic, semantic, pragmatic",11,Philosophy and Phenomenological Research
575,13,"causation, causal, account causation, interventionist, causal exclusion",14,Philosophy and Phenomenological Research
576,14,"contextualism, knowledge, knowledge ascriptions, Lepore, ascriptions",24,Philosophy and Phenomenological Research
577,15,"realism, scientific realism, realists, science, perspectivism",8,Philosophy and Phenomenological Research
578,16,"perceptual, visual, perception, perceptual experience, objects",27,Philosophy and Phenomenological Research
579,17,"logic, recapture, consensus, logicians, translation argument",4,Philosophy and Phenomenological Research
580,18,"CAI, objects, parts, composition, extendedness",13,Philosophy and Phenomenological Research
581,19,"responsibility, moral responsibility, blame, blameworthy, judgments",25,Philosophy and Phenomenological Research
582,20,"emotions, emotion, love, emotional, affective",25,Philosophy and Phenomenological Research
583,21,"physicalism, physical, physical properties, concepts, consciousness",18,Philosophy and Phenomenological Research
584,22,"vagueness, Harry bald, sorites, nobody, paradox",14,Philosophy and Phenomenological Research
585,23,"racial, groups, statistical evidence, racism, racial profiling",6,Philosophy and Phenomenological Research
586,24,"colour, qualities, colours, color qualia, qualia",19,Philosophy and Phenomenological Research
587,25,"persons, personal identity, ﬁssion, psychological, ontological significance",21,Philosophy and Phenomenological Research
588,26,"imagination, imagery, mental imagery, imaginative, imaginings",14,Philosophy and Phenomenological Research
589,27,"knowledge, warranted false, warrant, belief, known known",12,Philosophy and Phenomenological Research
590,28,"disagreement, permissivism, epistemic, peer disagreement, evidence",9,Philosophy and Phenomenological Research
591,29,"aesthetic, art, aesthetic value, aesthetics, mass art",15,Philosophy and Phenomenological Research
592,30,"God, theism, atheism, belief hyperspace, World Problem",16,Philosophy and Phenomenological Research
593,31,"libertarianism, transworld depravity, causal libertarianism, control, luck objection",9,Philosophy and Phenomenological Research
594,32,"Hume, Humes, Treatise, Garrett, scepticism",21,Philosophy and Phenomenological Research
595,33,"Wittgenstein, past attitudes, applicative, Stroll, reading",10,Philosophy and Phenomenological Research
596,34,"Kant, Kants, idealism, sensibility, intrinsic properties",15,Philosophy and Phenomenological Research
597,35,"perceptual, beliefs, perception, perceptual experiences, grasping",20,Philosophy and Phenomenological Research
598,36,"Ramsey Test, Test, subjunctive, Import, links credence",6,Philosophy and Phenomenological Research
599,37,"ontological, ontology, objects, structural indeterminacy, thesis",16,Philosophy and Phenomenological Research
600,38,"externalism, internalism, internalists, content externalism, externalists",17,Philosophy and Phenomenological Research
601,39,"paradoxes, truth, truth teller, sentences, liar paradox",9,Philosophy and Phenomenological Research
602,40,"properties, causal, causation, physical, exclusion",9,Philosophy and Phenomenological Research
603,41,"Plato, Parmenides, Socrates, book, Aquinas",11,Philosophy and Phenomenological Research
604,43,"virtue, virtue epistemology, virtues, epistemology, versions virtue",9,Philosophy and Phenomenological Research
605,44,"skepticism, sceptical, scepticism, world, radical",17,Philosophy and Phenomenological Research
606,45,"Goldman, social epistemology, critical thinking, Alvin Goldman, groups",7,Philosophy and Phenomenological Research
607,46,"counterfactuals, counter entailment, project attempts, counterpossible, movies",4,Philosophy and Phenomenological Research
608,47,"Humean base, Supervenience Laws, Humean Supervenience, Laws Nature, Supervenience",7,Philosophy and Phenomenological Research
609,48,"knowledge, Brandom, propositional knowledge, intellectualism, Stanley",9,Philosophy and Phenomenological Research
610,49,"explanatory, explanations, layered structure, coincidences, structure dependence",5,Philosophy and Phenomenological Research
611,50,"epistemic intuitions, intuition, mindreading, expertise, Nagel",9,Philosophy and Phenomenological Research
612,51,"pleonastic, propositions, Things Mean, clauses, entities",5,Philosophy and Phenomenological Research
613,52,"persistence, wholly present, Four Dimensionalism, Dimensionalism, continuer",8,Philosophy and Phenomenological Research
614,53,"testimony, hearer, epistemology testimony, evidence, justification",13,Philosophy and Phenomenological Research
615,55,"agent knowledge, skilled activity, Human Action, justified perception, activity",3,Philosophy and Phenomenological Research
616,56,"assertion, dialectical model, dialectical, theory assurance, assertoric norms",3,Philosophy and Phenomenological Research
617,57,"deflationism, deflationary, deflationist, Deflationism, deflationists",5,Philosophy and Phenomenological Research
618,58,"conceptual, conceptual analysis, concepts, engineering, philosophical analysis",8,Philosophy and Phenomenological Research
619,59,"grief, death, rationality, meaningfulness, griefs rationality",6,Philosophy and Phenomenological Research
620,60,"memory, episodic, recollection, episodic recollection, remembering",9,Philosophy and Phenomenological Research
621,61,"causal bases, analysis dispositions, conditional analysis, dispositions intrinsic, bare dispositions",3,Philosophy and Phenomenological Research
622,62,"attitudes, cognitive relation, attitude reports, propositional attitudes, Theory",5,Philosophy and Phenomenological Research
623,63,"hallucination, naïve realism, realism, perception, experiences",12,Philosophy and Phenomenological Research
624,64,"Descartes, may object, Cartesian, Meditations, mind body",19,Philosophy and Phenomenological Research
625,65,"lying, deception, self deception, lie, deceive",7,Philosophy and Phenomenological Research
626,66,"Leibniz, substance, Curley, Spinozas, ontological",12,Philosophy and Phenomenological Research
627,67,"self knowledge, de se, uniquely de, critical reasoning, account self",6,Philosophy and Phenomenological Research
628,68,"QIG, metaphysical explanation, third claim, metaphysical, entity fundamental",4,Philosophy and Phenomenological Research
629,70,"metaphysics, metaphysical, science, book, sensed qualities",9,Philosophy and Phenomenological Research
630,71,"state affairs, pleasures, Chastity, phenomenological theories, affective",5,Philosophy and Phenomenological Research
631,72,"minimizing expected, belief temporal, Sleeping Beauty, Beauty problem, self locating",1,Philosophy and Phenomenological Research
632,73,"inverse form, chance, continuum, countable infinity, form NP",2,Philosophy and Phenomenological Research
633,74,"coherence, coherentism, coherentists, radical skepticism, scientific reasoning",3,Philosophy and Phenomenological Research
634,75,"sentential reference, plausibility depends, knowledge factive, mathematical theories, classical logic",1,Philosophy and Phenomenological Research
635,76,"red water, kind instances, instances constitute, constitute extension, designates kind",1,Philosophy and Phenomenological Research
636,77,"pure powers, essence, essentialists argue, Dispositional essentialists, primitivist theory",2,Philosophy and Phenomenological Research
637,78,"conscious, consciousness, Brentanos theory, subjective character, higher order",5,Philosophy and Phenomenological Research
638,79,"meaning platonist, platonist assumptions, platonist, Frege, Leibniz",1,Philosophy and Phenomenological Research
639,80,"truth conditional, modals, behavior modal, affect interpretation, modal vocabulary",1,Philosophy and Phenomenological Research
640,81,"luck, epistemic luck, epistemic, knowledge, knowledge lucky",3,Philosophy and Phenomenological Research
641,82,"Moore paradox, paradox, paradoxical proposition, Moore paradoxical, akratic belief",6,Philosophy and Phenomenological Research
642,84,"Frankfurt, PAP, morally responsible, done otherwise, deterministically",2,Philosophy and Phenomenological Research
643,85,"bodily, bodily awareness, bodily action, control, motor representations",5,Philosophy and Phenomenological Research
644,86,"compatibilists, compatibilist, determinism, compatibilism, moral responsibility",6,Philosophy and Phenomenological Research
645,87,"privilege, first person, person privilege, approach privilege, expressive",4,Philosophy and Phenomenological Research
646,88,"Quine, analyticity, Two Dogmas, deflationism, meaning",4,Philosophy and Phenomenological Research
647,-1,"argue, paper, theory, philosophy, account",84,Philosophers' Imprint
648,0,"normative, Kant, argue, paper, coercion",56,Philosophers' Imprint
649,1,"credences, belief, epistemic, accuracy, evidence",19,Philosophers' Imprint
650,2,"Hobbes, mathematics, Pythagoreanism, evolved numerical, civil philosophy",7,Philosophers' Imprint
651,4,"ought, best theorem, reason giving, vaccinate tomorrow, normative reason",16,Philosophers' Imprint
652,5,"representations He, motion body, Kant teleology, alive explains, teleology philosophy",1,Philosophers' Imprint
653,6,"modal, modality, metaphysical, modal realists, iterated modalities",11,Philosophers' Imprint
654,7,"decision theory, theory, expected utility, Jeffrey conditionalization, dominance",7,Philosophers' Imprint
655,8,"local version, physically possible, possible world, unaccelerated laboratories, say local",1,Philosophers' Imprint
656,9,"temporal, presentism, listening music, real change, temporal experiences",6,Philosophers' Imprint
657,10,"innateness also, machine like, distinction innate, caused factors, biological traits",2,Philosophers' Imprint
658,11,"Hobbes, film, demonstratives, conventions, pronouns",7,Philosophers' Imprint
659,12,"scientific, Mill, scientific knowledge, warrant scientific, method bias",4,Philosophers' Imprint
660,13,"causation, causal, flood, causal notions, chocolate",3,Philosophers' Imprint
661,14,"contextualism, taste, pattern, knowledge, skeptics knowledge",4,Philosophers' Imprint
662,15,"scientific realism, underdetermination, science objective, realism difficult, revisits bearing",1,Philosophers' Imprint
663,16,"spatiality, space, intuitions, transparency, experiences",2,Philosophers' Imprint
664,17,"classical logic, inferentialism, logic argue, English, tonk language",2,Philosophers' Imprint
665,18,"concepts solves, enriches space, compositional ampliative, frames paper, bulk discussion",1,Philosophers' Imprint
